#  Contiguous U.S. Average Temperature,
# Units: Degrees Fahrenheit,
Date,Value
199501,33.08
199502,37.36
199503,43.34
199504,49.41
199505,58.62
199506,67.53
199507,73.53
199508,74.3
199509,64.67
199510,54.45
199511,42.03
199512,33.42
199601,29.7
199602,35.69
199603,39.02
199604,50.65
199605,60.96
199606,69.84
199607,73.62
199608,72.41
199609,63.45
199610,53.64
199611,39.63
199612,33.91
199701,29.97
199702,36.05
199703,44.65
199704,47.91
199705,59.38
199706,68.29
199707,73.17
199708,71.73
199709,66.4
199710,53.91
199711,40.86
199712,34
199801,34.99
199802,38.71
199803,41.32
199804,51.06
199805,62.46
199806,68.11
199807,75.45
199808,73.99
199809,68.95
199810,55.11
199811,44.89
199812,35.55
199901,33.78
199902,39.49
199903,42.78
199904,51.55
199905,60.04
199906,68.29
199907,74.28
199908,72.88
199909,64.33
199910,54.75
199911,48.11
199912,36.1
200001,33.57
200002,39.78
200003,46.02
200004,52.57
200005,63.12
200006,69.01
200007,73.85
200008,74.01
200009,65.55
200010,55.08
200011,38.01
200012,28.44
200101,31.37
200102,33.96
200103,41.47
200104,53.08
200105,62.8
200106,69.21
200107,74.44
200108,74.28
200109,65.68
200110,54.36
200111,47.39
200112,36.12
200201,34.48
200202,36.39
200203,39.54
200204,53.49
200205,59.27
200206,70.84
200207,75.83
200208,72.82
200209,66.83
200210,51.82
200211,41.95
200212,35.08
200301,32.81
200302,32.79
200303,43.29
200304,51.89
200305,60.96
200306,68.02
200307,75.43
200308,74.62
200309,64.94
200310,56.53
200311,42.35
200312,35.29
200401,30.36
200402,33.57
200403,47.39
200404,52.66
200405,61.9
200406,68.05
200407,72.88
200408,70.14
200409,65.64
200410,55.35
200411,43.99
200412,35.06
200501,33.39
200502,37.94
200503,42.31
200504,52.25
200505,59.54
200506,69.19
200507,75.29
200508,73.18
200509,67.35
200510,55.36
200511,45
200512,32.7
200601,38.93
200602,34.83
200603,42.6
200604,55.24
200605,62.26
200606,70.74
200607,76.39
200608,73.38
200609,63.28
200610,52.57
200611,44.08
200612,36.57
200701,31.35
200702,32.41
200703,47.64
200704,50.54
200705,62.31
200706,69.85
200707,74.68
200708,74.62
200709,66.42
200710,56.66
200711,43.99
200712,33.22
200801,30.27
200802,34.7
200803,41.86
200804,50.38
200805,59.34
200806,69.58
200807,74.05
200808,72.25
200809,65.19
200810,53.98
200811,43.92
200812,31.87
200901,31.05
200902,36.77
200903,42.87
200904,50.9
200905,61.63
200906,68.5
200907,72.61
200908,71.87
200909,66.36
200910,50.49
200911,45.82
200912,29.64
201001,30.67
201002,31.8
201003,43.56
201004,53.24
201005,59.86
201006,70.47
201007,74.7
201008,74.03
201009,66.47
201010,56.14
201011,42.31
201012,32.47
201101,29.71
201102,33.04
201103,43.07
201104,51.96
201105,59.11
201106,69.8
201107,76.12
201108,74.98
201109,66.07
201110,55.08
201111,43.74
201112,35.4
201201,36.12
201202,37.51
201203,50.4
201204,54.68
201205,63.43
201206,70.52
201207,76.73
201208,73.78
201209,66.29
201210,53.89
201211,44.01
201212,35.92
201301,32.25
201302,34.77
201303,40.89
201304,49.66
201305,60.84
201306,70.38
201307,74.19
201308,72.97
201309,66.94
201310,53.42
201311,41.61
201312,31.06
201401,30.56
201402,32.13
201403,40.51
201404,51.69
201405,61.27
201406,69.57
201407,73.27
201408,72.21
201409,66.16
201410,56.91
201411,39.25
201412,36.81
201501,33.08
201502,32.99
201503,45.39
201504,53.22
201505,60.82
201506,71.33
201507,73.89
201508,72.91
201509,68.5
201510,57.24
201511,44.58
201512,38.64
201601,32.22
201602,39.47
201603,47.48
201604,53.19
201605,60.31
201606,71.74
201607,75.2
201608,73.51
201609,67.1
201610,57.7
201611,47.95
201612,32.95
201701,33.57
201702,41.16
201703,46.13
201704,53.78
201705,60.55
201706,70.32
201707,75.69
201708,72
201709,66.25
201710,55.69
201711,45.03
201712,34.29
201801,32.16
201802,35.51
201803,42.73
201804,49.01
201805,65.5
201806,71.53
201807,75.43
201808,73.49
201809,67.51
201810,53.71
201811,40.01
201812,35.51
201901,32.56
201902,31.84
201903,40.28
201904,52.83
201905,59.49
201906,68.7
201907,74.59
201908,73.72
201909,68.41
201910,52.03
201911,41.09
201912,36.43
202001,35.53
202002,36.16
202003,46.08
202004,50.86
202005,60.89
202006,70.27
202007,75.63
202008,74.68
202009,65.89
202010,54.28
202011,46.31
202012,35.71
202101,34.59
202102,30.61
202103,45.52
202104,51.85
202105,60.33
202106,72.57
202107,75.4
202108,73.96
202109,67.78
202110,56.95
202111,45.07
202112,39.34
202201,31.17
202202,33.66
202203,44.08
202204,50.67
202205,61.92
202206,70.79
202207,76.39
202208,74.59
202209,68.02
202210,55.18
202211,40.96
202212,33.12
202301,35.08
202302,36.34
202303,40.53
202304,51.28
202305,62.37
202306,68.99
202307,75.65
202308,74.35
202309,67.75
202310,56.03
202311,44.22
202312,39.76
202401,31.86
202402,40.78
202403,44.94
202404,53.6
202405,62.26
202406,71.8
202407,75.7
202408,74.01
202409,68.61
202410,58.95
202411,45.14
202412,38.16
202501,29.19
202502,34.77
202503,46.89
202504,53.6
202505,61.72
202506,71.2
202507,75.42
202508,73.38
202509,67.91
202510,56.93
